user_id,role,department,plan,tenure_months,logins_last_30d,session_length_min,patients_documented,features_adopted,ttfv_days,support_tickets,nps_score,adopted_patient_timeline,adopted_e_prescribing,adopted_care_gap_alerts,adopted_secure_messaging,adopted_lab_viewer,adopted_referral_tracker,adopted_voice_notes,adopted_analytics_dashboard,depth_patient_timeline,depth_e_prescribing,depth_care_gap_alerts,depth_secure_messaging,depth_voice_notes,depth_analytics_dashboard,cohort_month,power_user
CF00000,Care Coordinator,Emergency,Professional,15,17,7.9,50,4,5,0,25,1,1,1,1,0,0,0,0,10.0,5.6,2.9,8.9,0.0,0.0,2023-04-01,0
CF00001,Registered Nurse,Oncology,Professional,15,15,16.7,36,3,1,0,68,1,0,0,1,0,0,0,1,5.5,0.0,0.0,8.3,0.0,3.4,2023-01-01,1
CF00002,Care Coordinator,Oncology,Professional,28,10,29.5,70,4,1,1,32,1,0,1,1,0,0,1,0,6.3,0.0,7.7,4.0,3.4,0.0,2024-01-26,1
CF00003,Physician,Oncology,Professional,5,14,3.7,73,4,1,1,50,1,1,0,1,0,1,0,0,8.4,3.9,0.0,8.6,0.0,0.0,2023-11-27,1
CF00004,Physician,Cardiology,Professional,31,12,8.1,91,6,2,2,27,1,1,1,0,1,0,1,1,5.0,8.9,6.5,0.0,5.0,2.0,2023-09-28,1
CF00005,Registered Nurse,Emergency,Starter,7,6,21.9,50,4,1,1,63,1,1,1,1,0,0,0,0,10.0,9.2,1.9,4.7,0.0,0.0,2023-05-01,1
CF00006,Physician,Cardiology,Starter,6,11,15.2,53,5,2,1,100,1,1,0,1,1,1,0,0,6.7,6.0,0.0,8.1,0.0,0.0,2023-06-30,0
CF00007,Registered Nurse,Cardiology,Professional,6,13,13.0,25,6,12,0,39,1,1,1,0,1,1,0,1,8.7,6.1,6.9,0.0,0.0,4.2,2024-02-25,1
CF00008,Care Coordinator,Oncology,Starter,2,9,14.0,38,5,10,2,35,1,0,1,1,1,1,0,0,9.7,0.0,5.5,3.2,0.0,0.0,2023-01-31,0
CF00009,Nurse Practitioner,Cardiology,Professional,4,18,10.5,21,5,1,0,41,1,0,1,1,1,0,1,0,8.9,0.0,9.0,9.7,3.5,0.0,2023-01-01,0
CF00010,Physician,Primary Care,Starter,3,6,14.9,54,4,1,0,20,1,1,1,1,0,0,0,0,5.3,2.9,3.5,9.3,0.0,0.0,2023-05-31,1
CF00011,Physician,Cardiology,Professional,1,17,25.0,22,4,1,2,20,1,1,0,0,1,1,0,0,4.1,9.1,0.0,0.0,0.0,0.0,2023-10-28,1
CF00012,Physician,Pediatrics,Enterprise,23,14,16.0,52,6,9,3,78,1,1,1,1,1,0,0,1,3.6,10.0,5.7,0.3,0.0,5.3,2023-11-27,1
CF00013,Nurse Practitioner,Cardiology,Professional,6,17,17.0,29,5,1,1,14,1,0,0,1,1,1,1,0,5.2,0.0,0.0,9.2,1.2,0.0,2023-11-27,1
CF00014,Nurse Practitioner,Cardiology,Professional,16,15,23.3,37,5,1,1,82,1,1,1,0,1,0,1,0,5.6,7.9,5.2,0.0,3.9,0.0,2024-04-25,0
CF00015,Nurse Practitioner,Primary Care,Starter,2,13,25.9,45,2,3,0,23,1,0,0,1,0,0,0,0,5.2,0.0,0.0,7.4,0.0,0.0,2024-03-26,0
CF00016,Registered Nurse,Primary Care,Enterprise,25,13,14.8,45,7,2,0,41,1,1,1,0,1,1,1,1,8.8,7.7,3.5,0.0,1.6,8.7,2023-12-27,1
CF00017,Care Coordinator,Pediatrics,Professional,12,11,18.0,51,5,1,1,37,1,0,1,1,0,0,1,1,4.1,0.0,5.3,7.9,5.5,4.0,2023-01-31,1
CF00018,Care Coordinator,Oncology,Professional,2,10,12.9,26,5,11,0,28,1,1,1,1,0,0,0,1,3.4,2.4,6.9,9.4,0.0,2.8,2023-11-27,0
CF00019,Registered Nurse,Pediatrics,Enterprise,15,18,14.4,84,5,3,1,55,1,0,1,0,1,1,0,1,8.2,0.0,8.7,0.0,0.0,8.9,2023-06-30,1
CF00020,Physician,Pediatrics,Professional,2,18,13.9,33,6,5,1,40,1,1,0,1,1,1,0,1,10.0,2.9,0.0,8.7,0.0,7.7,2023-03-02,1
